Day,Start Hour,Views
Sunday,12 AM,"2,880"
Sunday,1 AM,"2,370"
Sunday,2 AM,"1,798"
Sunday,3 AM,"1,383"
Sunday,4 AM,"1,257"
Sunday,5 AM,"1,174"
Sunday,6 AM,"1,563"
Sunday,7 AM,"2,488"
Sunday,8 AM,"3,562"
Sunday,9 AM,"4,095"
Sunday,10 AM,"4,545"
Sunday,11 AM,"4,828"
Sunday,12 PM,"4,811"
Sunday,1 PM,"4,838"
Sunday,2 PM,"4,929"
Sunday,3 PM,"4,628"
Sunday,4 PM,"4,458"
Sunday,5 PM,"4,316"
Sunday,6 PM,"4,080"
Sunday,7 PM,"4,127"
Sunday,8 PM,"4,215"
Sunday,9 PM,"4,559"
Sunday,10 PM,"4,349"
Sunday,11 PM,"3,083"
Monday,12 AM,"2,691"
Monday,1 AM,"1,936"
Monday,2 AM,"1,574"
Monday,3 AM,"1,220"
Monday,4 AM,"1,397"
Monday,5 AM,"1,812"
Monday,6 AM,"2,381"
Monday,7 AM,"2,350"
Monday,8 AM,"2,814"
Monday,9 AM,"3,547"
Monday,10 AM,"4,232"
Monday,11 AM,"4,743"
Monday,12 PM,"4,390"
Monday,1 PM,"4,269"
Monday,2 PM,"4,264"
Monday,3 PM,"4,216"
Monday,4 PM,"4,117"
Monday,5 PM,"4,034"
Monday,6 PM,"3,781"
Monday,7 PM,"4,103"
Monday,8 PM,"4,276"
Monday,9 PM,"4,689"
Monday,10 PM,"4,518"
Monday,11 PM,"3,061"
Tuesday,12 AM,"3,094"
Tuesday,1 AM,"2,224"
Tuesday,2 AM,"1,597"
Tuesday,3 AM,"1,337"
Tuesday,4 AM,"1,376"
Tuesday,5 AM,"1,942"
Tuesday,6 AM,"2,767"
Tuesday,7 AM,"2,161"
Tuesday,8 AM,"2,219"
Tuesday,9 AM,"2,661"
Tuesday,10 AM,"3,546"
Tuesday,11 AM,"3,912"
Tuesday,12 PM,"3,873"
Tuesday,1 PM,"3,543"
Tuesday,2 PM,"3,643"
Tuesday,3 PM,"3,503"
Tuesday,4 PM,"3,209"
Tuesday,5 PM,"3,299"
Tuesday,6 PM,"3,467"
Tuesday,7 PM,"3,495"
Tuesday,8 PM,"3,656"
Tuesday,9 PM,"4,271"
Tuesday,10 PM,"4,170"
Tuesday,11 PM,"2,725"
Wednesday,12 AM,"2,431"
Wednesday,1 AM,"1,758"
Wednesday,2 AM,"1,355"
Wednesday,3 AM,"1,056"
Wednesday,4 AM,"1,163"
Wednesday,5 AM,"1,559"
Wednesday,6 AM,"2,340"
Wednesday,7 AM,"2,639"
Wednesday,8 AM,"2,917"
Wednesday,9 AM,"3,242"
Wednesday,10 AM,"3,733"
Wednesday,11 AM,"4,167"
Wednesday,12 PM,"3,924"
Wednesday,1 PM,"3,712"
Wednesday,2 PM,"3,724"
Wednesday,3 PM,"3,705"
Wednesday,4 PM,"3,592"
Wednesday,5 PM,"3,702"
Wednesday,6 PM,"3,573"
Wednesday,7 PM,"3,349"
Wednesday,8 PM,"3,479"
Wednesday,9 PM,"3,944"
Wednesday,10 PM,"3,943"
Wednesday,11 PM,"2,274"
Thursday,12 AM,"2,513"
Thursday,1 AM,"1,784"
Thursday,2 AM,"1,337"
Thursday,3 AM,"1,093"
Thursday,4 AM,"1,126"
Thursday,5 AM,"1,781"
Thursday,6 AM,"2,619"
Thursday,7 AM,"2,861"
Thursday,8 AM,"3,184"
Thursday,9 AM,"4,646"
Thursday,10 AM,"4,059"
Thursday,11 AM,"4,250"
Thursday,12 PM,"4,300"
Thursday,1 PM,"4,349"
Thursday,2 PM,"4,244"
Thursday,3 PM,"3,943"
Thursday,4 PM,"3,767"
Thursday,5 PM,"3,752"
Thursday,6 PM,"3,675"
Thursday,7 PM,"3,753"
Thursday,8 PM,"4,165"
Thursday,9 PM,"5,051"
Thursday,10 PM,"4,979"
Thursday,11 PM,"3,133"
Friday,12 AM,"2,822"
Friday,1 AM,"2,005"
Friday,2 AM,"1,437"
Friday,3 AM,"1,240"
Friday,4 AM,"1,305"
Friday,5 AM,"1,887"
Friday,6 AM,"2,822"
Friday,7 AM,"2,773"
Friday,8 AM,"3,190"
Friday,9 AM,"4,052"
Friday,10 AM,"4,779"
Friday,11 AM,"4,947"
Friday,12 PM,"4,657"
Friday,1 PM,"4,422"
Friday,2 PM,"4,171"
Friday,3 PM,"3,849"
Friday,4 PM,"3,820"
Friday,5 PM,"4,009"
Friday,6 PM,"4,110"
Friday,7 PM,"4,205"
Friday,8 PM,"4,377"
Friday,9 PM,"5,107"
Friday,10 PM,"5,084"
Friday,11 PM,"2,926"
Saturday,12 AM,"3,556"
Saturday,1 AM,"2,453"
Saturday,2 AM,"1,615"
Saturday,3 AM,"1,218"
Saturday,4 AM,"1,160"
Saturday,5 AM,"1,314"
Saturday,6 AM,"2,140"
Saturday,7 AM,"2,991"
Saturday,8 AM,"3,578"
Saturday,9 AM,"3,967"
Saturday,10 AM,"4,530"
Saturday,11 AM,"4,696"
Saturday,12 PM,"4,850"
Saturday,1 PM,"4,972"
Saturday,2 PM,"4,650"
Saturday,3 PM,"4,575"
Saturday,4 PM,"4,451"
Saturday,5 PM,"4,391"
Saturday,6 PM,"4,007"
Saturday,7 PM,"3,886"
Saturday,8 PM,"4,171"
Saturday,9 PM,"4,485"
Saturday,10 PM,"4,313"
Saturday,11 PM,"2,636"
