Date,Impressions,Views,Avg. CPV,View rate
"Wed, Apr 17, 2024",0,0,ZAR0.00,0.00%
"Thu, Apr 18, 2024",0,0,ZAR0.00,0.00%
"Fri, Apr 19, 2024","4,773","1,300",ZAR0.21,27.24%
"Sat, Apr 20, 2024","34,847","11,847",ZAR0.10,34.00%
"Sun, Apr 21, 2024","35,494","13,800",ZAR0.09,38.88%
"Mon, Apr 22, 2024","32,694","13,519",ZAR0.09,41.35%
"Tue, Apr 23, 2024","32,862","14,361",ZAR0.08,43.70%
"Wed, Apr 24, 2024","33,856","16,015",ZAR0.07,47.30%
"Thu, Apr 25, 2024","36,415","18,359",ZAR0.06,50.42%
"Fri, Apr 26, 2024","34,527","15,576",ZAR0.08,45.11%
"Sat, Apr 27, 2024","37,689","17,020",ZAR0.07,45.16%
"Sun, Apr 28, 2024","35,884","15,926",ZAR0.07,44.38%
"Mon, Apr 29, 2024","33,228","15,290",ZAR0.08,46.02%
"Tue, Apr 30, 2024","35,863","16,999",ZAR0.07,47.40%
"Wed, May 1, 2024","41,458","16,523",ZAR0.07,39.85%
"Thu, May 2, 2024","39,777","17,041",ZAR0.07,42.84%
"Fri, May 3, 2024","39,494","16,346",ZAR0.07,41.39%
"Sat, May 4, 2024","43,362","17,930",ZAR0.07,41.35%
"Sun, May 5, 2024","41,544","16,953",ZAR0.07,40.81%
"Mon, May 6, 2024","38,504","16,348",ZAR0.07,42.46%
"Tue, May 7, 2024","37,846","16,403",ZAR0.07,43.34%
"Wed, May 8, 2024","34,850","15,956",ZAR0.07,45.78%
"Thu, May 9, 2024","36,452","16,467",ZAR0.07,45.17%
"Fri, May 10, 2024","37,416","16,670",ZAR0.07,44.55%
"Sat, May 11, 2024","39,558","16,191",ZAR0.07,40.93%
"Sun, May 12, 2024","38,192","15,547",ZAR0.08,40.71%
"Mon, May 13, 2024","35,515","14,882",ZAR0.08,41.90%
"Tue, May 14, 2024","34,589","14,689",ZAR0.08,42.47%
"Wed, May 15, 2024","35,109","15,753",ZAR0.08,44.87%
"Thu, May 16, 2024","37,705","17,361",ZAR0.07,46.04%
"Fri, May 17, 2024","38,352","17,516",ZAR0.07,45.67%
"Sat, May 18, 2024","40,444","18,055",ZAR0.07,44.64%
"Sun, May 19, 2024","40,064","18,632",ZAR0.06,46.51%
"Mon, May 20, 2024","37,104","16,965",ZAR0.07,45.72%
"Tue, May 21, 2024","16,220","5,874",ZAR0.20,36.21%
"Wed, May 22, 2024","12,033","3,561",ZAR0.34,29.59%
"Thu, May 23, 2024","9,645","3,664",ZAR0.32,37.99%
"Fri, May 24, 2024","10,106","3,500",ZAR0.34,34.63%
"Sat, May 25, 2024","11,007","3,562",ZAR0.33,32.36%
"Sun, May 26, 2024","11,513","3,478",ZAR0.34,30.21%
"Mon, May 27, 2024","10,383","3,411",ZAR0.35,32.85%
"Tue, May 28, 2024","9,704","3,364",ZAR0.36,34.67%
"Wed, May 29, 2024","10,239","3,473",ZAR0.34,33.92%
"Thu, May 30, 2024","22,647","7,472",ZAR0.16,32.99%
"Fri, May 31, 2024","35,895","13,088",ZAR0.09,36.46%
"Sat, Jun 1, 2024",0,0,ZAR0.00,0.00%
"Sun, Jun 2, 2024",0,0,ZAR0.00,0.00%
"Mon, Jun 3, 2024",0,0,ZAR0.00,0.00%
"Tue, Jun 4, 2024",0,0,ZAR0.00,0.00%
