Email Campaign Report,,
Title:,AEX | Win 10K ending soon,
Subject Line:,"Final shot at scoring R10,000",
Delivery Date/Time:,"Fri, Sep 22, 2023 10:22 am",
,,
Overall Stats,,
Total Recipients:,769,
Successful Deliveries:,761,
Bounces:,8 (1.0%),
Times Forwarded:,0,
Forwarded Opens:,0,
Recipients Who Opened:,248 (32.6%),
Total Opens:,377,
Last Open Date:,6/21/24 10:36AM,
Recipients Who Clicked:,20 (2.6%),
Total Clicks:,26,
Last Click Date:,4/22/24 9:32AM,
Total Unsubs:,7,
Total Abuse Complaints:,0,
Times Liked on Facebook:,0,
,,
Clicks by URL,,
URL,Total Clicks,Unique Clicks
http://Wealth.aions.co.za,17,12
https://youtu.be/k7dQY489_qI,4,3
https://www.wealth.aions.co.za/welcome,2,2
http://wealth.aions.co.za/invest?name=levelfinance,1,1
http://wealth.aions.co.za/invest?name=tubbyskitchen,1,1
http://wealth.aions.co.za/invest?name=cocobrands,1,1
http://wealth.aions.co.za/invest?name=scooter,0,0
https://www.facebook.com/profile.php?id=100093125621324&sk=about,0,0
https://www.instagram.com/aions_exchange/,0,0
https://wealth.aions.co.za,0,0
https://www.linkedin.com/company/aions-exchange/,0,0
